序号,原名称,英文翻译
1,0527-TR-20-7015-集成关节-1-solid1,0527-TR-20-7015-IntegratedJoint-1-solid1
2,0527-TR-20-7015-集成关节-1-solid10,0527-TR-20-7015-IntegratedJoint-1-solid10
3,0527-TR-20-7015-集成关节-1-solid2,0527-TR-20-7015-IntegratedJoint-1-solid2
4,0527-TR-20-7015-集成关节-1-solid29,0527-TR-20-7015-IntegratedJoint-1-solid29
5,0527-TR-20-7015-集成关节-1-solid3,0527-TR-20-7015-IntegratedJoint-1-solid3
6,0527-TR-20-7015-集成关节-1-solid30,0527-TR-20-7015-IntegratedJoint-1-solid30
7,0527-TR-20-7015-集成关节-1-solid4,0527-TR-20-7015-IntegratedJoint-1-solid4
8,0527-TR-20-7015-集成关节-1-solid5,0527-TR-20-7015-IntegratedJoint-1-solid5
9,0527-TR-20-7015-集成关节-1-solid6,0527-TR-20-7015-IntegratedJoint-1-solid6
10,0527-TR-20-7015-集成关节-1-solid7,0527-TR-20-7015-IntegratedJoint-1-solid7
11,0527-TR-20-7015-集成关节-1-solid8,0527-TR-20-7015-IntegratedJoint-1-solid8
12,0527-TR-20-7015-集成关节-1-solid9,0527-TR-20-7015-IntegratedJoint-1-solid9
13,0626-快连基座-1016-1-solid1,0626-Quick-connectBase-1016-1-solid1
14,10160626-TR-夹爪驱动板-2-solid1,10160626-TR-GripperDriverBoard-2-solid1
15,10160626-主体壳-1-1-solid1,10160626-MainHousing-1-1-solid1
16,10160626-圆柱齿轮14×0.5-1-solid1,10160626-SpurGear14x0.5-1-solid1
17,10160626-基板-1-1-solid1,10160626-BasePlate-1-1-solid1
18,10160626-基板-1-3-solid1,10160626-BasePlate-1-3-solid1
19,10160626-夹具-TR-14-5010-电机基座-1-solid1,10160626-Fixture-TR-14-5010-MotorBase-1-solid1
20,10160626-夹具-TR-编码器磁片-1-solid1,10160626-Fixture-TR-EncoderMagneticDisk-1-solid1
21,10160626-夹具-轴径15用M2400SW型挡圈-5010-1-solid1,10160626-Fixture-RetainingRingM2400SWforShaftDiameter15-5010-1-solid1
22,10160626-挡片-1-1-solid1,10160626-Shim-1-1-solid1
23,10160626-连接件-1-2-solid1,10160626-Connector-1-2-solid1
24,10160626-齿条×0.5-2-1-solid1,10160626-Rackx0.5-2-1-solid1
25,10166802轴承-24-15-5-1-solid1,10166802Bearing-24-15-5-1-solid1
26,10166802轴承-24-15-5-2-solid1,10166802Bearing-24-15-5-2-solid1
27,1016TR-14-5010-电机转子连接件-夹具-0626-1-solid1,1016TR-14-5010-MotorRotorConnector-Fixture-0626-1-solid1
28,1016波形垫片-17-23-厚度0.3-自由高度2-1-solid1,1016WaveWasher-17-23-Thickness0.3-FreeHeight2-1-solid1
29,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-伺服驱动板-1-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-ServoDriverBoard-1-1-solid1
30,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机-10-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotor-10-1-solid1
31,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机-12-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotor-12-1-solid1
32,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机-14-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotor-14-1-solid1
33,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机-2-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotor-2-1-solid1
34,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机-7-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotor-7-1-solid1
35,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机-8-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotor-8-1-solid1
36,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机单头铜柱-1-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotorSingle-EndedCopperStandoff-1-1-solid1
37,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机单头铜柱-1-1-solid2,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotorSingle-EndedCopperStandoff-1-1-solid2
38,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机单头铜柱-1-2-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotorSingle-EndedCopperStandoff-1-2-solid1
39,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机单头铜柱-1-2-solid2,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotorSingle-EndedCopperStandoff-1-2-solid2
40,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机单头铜柱-1-3-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotorSingle-EndedCopperStandoff-1-3-solid1
41,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-轮毂电机单头铜柱-1-3-solid2,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-HubMotorSingle-EndedCopperStandoff-1-3-solid2
42,230918TR-X6-轮毂电机装配体-0918-1/230918TR-X6-过线套-M8-3-6.5-1-solid1,230918TR-X6-HubMotorAssembly-0918-1/230918TR-X6-CableGrommet-M8-3-6.5-1-solid1
43,231011TR-巡检X6-轮毂电机-线缆端盖-1-solid1,231011TR-InspectionX6-HubMotor-CableEndCap-1-solid1
44,231011TR-零件-右轮组-1-solid1,231011TR-Part-RightWheelAssembly-1-solid1
45,231011TR-零件-左轮组-1-solid1,231011TR-Part-LeftWheelAssembly-1-solid1
46,231012TR-X6-6寸胎皮-1-solid1,231012TR-X6-6-inchTire-1-solid1
47,231012TR-X6-6寸胎皮-1-solid2,231012TR-X6-6-inchTire-1-solid2
48,231012TR-X6-6寸轮毂-1-1-solid1,231012TR-X6-6-inchWheelHub-1-1-solid1
